day,max_peak,multi,aggregation_interval,aggregation_type,C,C_reference,R,R_rel,q0,q10,q25,q50,q75,q90,q100,mean,std,var,fft1,fft2,fft3,fft4,fft5,fft6,fft7,fft8,fft9,fft10,fft11,fft12,fft1n,fft2n,fft3n,fft4n,fft5n,fft6n,fft7n,fft8n,fft9n,fft10n,fft11n,fft12n
1,38,1,5,1,-0,-0,0,0,5.77319998,6.08349998,6.22386663,6.55000001,12.5600003,12.9721001,18.1209999,8.63692453,3.14022907,9.86103862,0.0876227517,0.0174433853,0.010230565,0.00642745509,0.00509916218,0.00346852157,0.00292373673,0.00212456289,0.00171310229,0.00146808702,0.00117621491,0.0010687694,1,0.1990737,0.116756947,0.0733537234,0.0581944995,0.039584714,0.0333673239,0.0242467036,0.0195508844,0.0167546327,0.0134236244,0.012197396
1,38,1,10,1,-0,-0,0,0,5.77599998,6.08524992,6.22565001,6.5556833,12.5612502,12.9735334,18.0416667,8.63691529,3.13507078,9.82866879,0.133478941,0.0413408011,0.0220457646,0.0121165346,0.0105348118,0.00879734379,0.00662045481,0.00487040027,0.0048075231,0.00405417869,0.00312717567,0.00318615729,1,0.309717778,0.165162867,0.0907748779,0.078924898,0.0659081029,0.0495992458,0.0364881548,0.0360170905,0.0303731709,0.0234282325,0.0238701121
1,38,1,30,1,-0,-0,0,0,5.77988886,6.08854998,6.23390001,6.57831115,12.5574944,12.96855,17.7058112,8.63689395,3.10991451,9.67156823,0.236862652,0.0985541601,0.0624554464,0.0503924285,0.035792663,0.030701447,0.0246314126,0.0190544785,0.0144760031,0.0127339392,0.0109227869,0.0103567342,1,0.416081469,0.263677899,0.212749575,0.151111468,0.129617087,0.103990276,0.0804452639,0.0611156001,0.0537608571,0.0461144331,0.0437246403
1,38,1,60,1,-0,-0,0,0,5.80559997,6.09234167,6.24018334,6.65216667,12.5550916,12.9494833,17.5884167,8.6368288,3.06716543,9.40750377,0.273091778,0.198781836,0.115318566,0.076753911,0.0625753033,0.0528497961,0.0480535741,0.04339711,0.0316267559,0.0321752557,0.0269705792,0.0256781438,1,0.727893889,0.422270371,0.281055371,0.229136534,0.193523938,0.175961263,0.15891035,0.11580999,0.117818471,0.0987601292,0.0940275243
1,38,1,300,1,-0,-0,0,0,5.84787669,6.14114203,6.33476668,7.07201939,11.8289,13.0178522,14.4930501,8.63703333,2.79597854,7.81749598,0.359069113,0.0753356393,0.125004122,0.535926011,0.234630318,0.16893297,0.18662067,0.246891866,0.123942023,0.107589796,0.124224092,0.19777758,0.669997548,0.14057097,0.233248843,1,0.437803566,0.315216963,0.34822096,0.460682745,0.231267041,0.200754943,0.231793362,0.369038965
1,38,1,900,1,-0,-0,0,0,5.95126666,6.22878085,6.50900056,8.24469644,10.4552827,11.7979624,13.2143222,8.6370229,2.19782256,4.830424,0.777029389,0.122127084,0.048146451,0.0791867391,0.0916613167,0.0758453927,0.173189051,0.187246268,0.33824517,0.571141979,0,0,1,0.15717177,0.0619622008,0.101909581,0.117963771,0.0976094261,0.222886101,0.240977073,0.435305504,0.735032661,0,0
1,38,1,1800,1,-0,-0,0,0,6.11001055,6.46138082,7.23471803,8.16307469,9.76250043,11.8092076,12.8287084,8.63846224,1.89615172,3.59539136,1.16334214,0.230850587,0.139385863,0.0791127191,0.0671153935,0.0880579799,0.0784287773,0.130485357,0.00155425956,0,0,0,1,0.198437398,0.119815021,0.0680046879,0.0576918786,0.0756939657,0.0674167768,0.112164214,0.00133602963,0,0,0
1,38,1,2700,1,-0,-0,0,0,6.18549777,6.4710893,6.98817251,8.18628381,9.85356875,11.711954,12.388471,8.6393969,1.90024895,3.61094608,1.11743433,0.818854756,0.0853512075,0.0927571517,0.102932485,0.151026796,0.17007858,0.284056256,0.0967109299,0,0,0,1,0.732798997,0.076381408,0.0830090407,0.0921150195,0.135154964,0.152204541,0.254203982,0.0865473051,0,0,0
1,38,1,3600,1,-0,-0,0,0,6.34921752,6.58180611,7.08349096,8.26751734,9.79247362,11.4062473,12.2395675,8.64168034,1.8253664,3.33196249,1.09899075,0.748116294,0.113316084,0.148516488,0.0745734191,0.129877145,0.016418701,0,0,0,0,0,1,0.68073029,0.103109224,0.135138979,0.0678562753,0.11817856,0.014939799,0,0,0,0,0
2,38,1,5,1,-0,-0,0,0,4.84400003,6.01999998,10.0061667,18.6712002,21.0343,22.2182399,27.6975999,15.5739837,6.3319915,40.0941164,0.0959407962,0.0170887631,0.010283627,0.00645913373,0.00500804299,0.00370351359,0.00276339778,0.00226986469,0.00176564599,0.00142898887,0.00120924006,0.00113919146,1,0.178117795,0.107187217,0.0673241622,0.0521993061,0.0386020727,0.0288031566,0.0236590145,0.0184034952,0.0148944863,0.0126040236,0.0118739004
2,38,1,10,1,-0,-0,0,0,4.84700003,6.02308343,9.92383344,18.6727499,21.0404001,22.2065,27.6990001,15.5736351,6.32978525,40.0661813,0.152808508,0.0387779165,0.0222473431,0.0111560902,0.0106701489,0.00885511757,0.00655018919,0.00524611116,0.00465096193,0.00414521657,0.00348632472,0.00323680653,1,0.253768047,0.145589689,0.0730069967,0.0698269294,0.0579491137,0.0428653437,0.0343312767,0.0304365379,0.0271268704,0.022814991,0.0211821095
2,38,1,30,1,-0,-0,0,0,4.86133335,6.02674997,9.63370006,18.6525832,21.0373721,22.2053665,25.9800001,15.5727499,6.31970064,39.9386162,0.307285333,0.0882396847,0.0599309359,0.0460260992,0.038177538,0.0270315332,0.0236849837,0.0204800874,0.0144974142,0.0113515047,0.0105948337,0.0111038033,1,0.287158791,0.195033506,0.149782936,0.124241329,0.0879688366,0.0770781459,0.0666484378,0.0471789982,0.0369412514,0.0344788135,0.0361351556
2,38,1,60,1,-0,-0,0,0,4.86768336,6.03538891,9.67916949,18.6391249,21.0907333,22.2069028,26.1471389,15.571387,6.30102988,39.7029776,0.438774275,0.169677788,0.0982334321,0.0752832444,0.0625801507,0.0503499357,0.0447373465,0.0371855613,0.0377446323,0.0305817415,0.0250651259,0.0277643515,1,0.386708607,0.223881476,0.17157625,0.142624931,0.114751339,0.101959821,0.0847487272,0.0860228926,0.0696981186,0.0571253315,0.0632770723
2,38,1,300,1,-0,-0,0,0,4.8919967,6.12309171,9.64117169,17.8771834,21.19613,22.1632093,23.6216,15.5602085,6.18412017,38.2433422,1.09730319,0.196875535,0.132165481,0.409363885,0.221745405,0.109425107,0.16364453,0.177895952,0.151128358,0.0819695918,0.103395509,0.0175794076,1,0.179417628,0.120445728,0.373063607,0.202082166,0.0997218529,0.149133377,0.162121056,0.137727075,0.0747009511,0.0942269285,0.0160205564
2,38,1,900,1,-0,-0,0,0,5.94253777,7.07213167,9.476308,17.9104417,21.1202717,22.0780823,23.3608796,15.5406117,6.04960919,36.5977713,2.224541,0.52152438,0.271927279,0.212477372,0.146100509,0.171333073,0.176125663,0.162965186,0.294077812,0.452372476,0,0,1,0.234441343,0.122239725,0.0955151524,0.065676699,0.0770195167,0.0791739345,0.0732578927,0.132197074,0.203355423,0,0
2,38,1,1800,1,-0,-0,0,0,6.38166115,7.53770466,8.15053318,16.6815639,21.1406458,22.0821406,22.8811805,15.5311135,5.95652981,35.4802474,3.08441797,0.671119814,0.531018648,0.389449403,0.202826626,0.29420112,0.187057506,0.170436305,0.126663971,0,0,0,1,0.21758394,0.172161702,0.126263499,0.0657584765,0.0953830264,0.0606459655,0.0552572013,0.041065761,0,0,0
2,38,1,2700,1,-0,-0,0,0,7.05976171,7.35131034,8.65286972,16.7802287,21.1047006,22.4990755,22.5581191,15.5148215,5.993268,35.9192613,4.00689988,1.13672608,0.524196422,0.443154314,0.549200979,0.325964266,0.290570373,0.297083793,0.15005304,0,0,0,1,0.283692158,0.130823439,0.110597801,0.137063814,0.081350739,0.0725175028,0.0741430535,0.0374486621,0,0,0
2,38,1,3600,1,-0,-0,0,0,7.14258939,7.67920911,7.96119002,16.6787721,21.2160312,21.9497589,22.6698176,15.48676,6.00259973,36.0312035,4.02083672,1.15471199,0.521822536,0.339613013,0.469924399,0.159624151,0.048738711,0,0,0,0,0,1,0.287182015,0.129779589,0.0844632691,0.116872291,0.0396992373,0.0121215345,0,0,0,0,0
3,38,1,5,1,-0,-0,0,0,7.24800012,7.54468001,13.5696001,20.5166664,20.8702002,21.1099999,26.3449998,16.4169511,5.58996812,31.2477436,0.0959320672,0.0156863338,0.00946686852,0.00555154349,0.00454351728,0.00303845372,0.00250116494,0.00191020389,0.00155449477,0.00132846834,0.00117392894,0.0010503697,1,0.163515019,0.0986830452,0.0578695284,0.0473618198,0.0316729725,0.0260722511,0.0199120476,0.0162041205,0.0138480111,0.0122370858,0.010949099
3,38,1,10,1,-0,-0,0,0,7.25450011,7.54533337,13.5665,20.5190836,20.8709,21.1093499,26.3395003,16.4166656,5.58779491,31.223452,0.153814276,0.0375929108,0.0204690907,0.0102920928,0.00952047896,0.00839491746,0.00570080133,0.00428665155,0.00414348514,0.00359178755,0.00285750098,0.00275702041,1,0.244404563,0.133076664,0.0669124678,0.0618959386,0.0545782725,0.0370628884,0.0278690098,0.0269382352,0.0233514577,0.0185776058,0.0179243467
3,38,1,30,1,-0,-0,0,0,7.26576677,7.55880547,13.5433001,20.5224722,20.8757834,21.1159443,26.3126669,16.4174083,5.57537059,31.0847572,0.31479152,0.0914303604,0.0517396772,0.0449683084,0.0336005158,0.0285637362,0.0217935403,0.0178193353,0.0131275295,0.0100002052,0.0093952831,0.00868991526,1,0.290447343,0.164361725,0.142851079,0.106738949,0.0907385822,0.0692316625,0.056606783,0.0417022973,0.0317677083,0.0298460489,0.0276053029
3,38,1,60,1,-0,-0,0,0,7.26811121,7.56925,12.6501056,20.5267222,20.8818251,21.1567499,26.1135834,16.4185158,5.5579006,30.890259,0.458859531,0.167295849,0.0964603237,0.0815505135,0.0539846275,0.0436966189,0.0452043632,0.0376736718,0.0319892056,0.0303485515,0.0293946169,0.0276176537,1,0.364590551,0.210217544,0.177724354,0.117649572,0.0952287485,0.0985146002,0.0821028425,0.0697145935,0.0661390893,0.0640601642,0.0601875995
3,38,1,300,1,-0,-0,0,0,7.4307944,7.67897331,11.8289,20.5018716,20.942045,21.3810399,22.4506968,16.4274064,5.42688239,29.4510525,1.17440121,0.225918902,0.158112366,0.224452041,0.43819109,0.180272728,0.182068664,0.0813288885,0.10856295,0.104239325,0.0851783822,0.0574935317,1,0.19236944,0.134632326,0.191120411,0.373118733,0.153501825,0.15503106,0.0692513667,0.0924411093,0.0887595518,0.072529202,0.0489556137
3,38,1,900,1,-0,-0,0,0,7.50549258,9.37356044,10.9618208,19.9285834,21.0596773,21.2202817,21.534391,16.4499033,5.21547789,27.2012096,2.22652107,0.603980937,0.384585841,0.221405859,0.239771477,0.169276509,0.233018376,0.323814892,0.336412237,0.111962035,0,0,1,0.271266662,0.172729487,0.0994402713,0.107688843,0.0760273556,0.104655815,0.14543536,0.15109322,0.0502856393,0,0
3,38,1,1800,1,-0,-0,0,0,7.63371884,9.52433053,11.5589203,19.5455922,21.0486461,21.2345919,21.3661085,16.4659672,5.08321304,25.8390548,2.43206053,1.3793588,0.752835522,0.373522789,0.311807448,0.152081984,0.184899997,0.169998771,0.0721694015,0,0,0,1,0.567156443,0.309546376,0.153582851,0.128207109,0.0625321544,0.0760260671,0.0698990707,0.0296741799,0,0,0
3,38,1,2700,1,-0,-0,0,0,7.75225923,9.89572278,11.7371676,20.0078537,21.0670457,21.1728352,21.3005666,16.4830012,5.0337524,25.3386632,3.11899109,1.5127348,1.00620355,0.797732906,0.375473781,0.383255405,0.32367978,0.192181415,0.16058916,0,0,0,1,0.485007735,0.322605458,0.255766331,0.120383089,0.122878006,0.103777077,0.0616165323,0.0514875341,0,0,0
3,38,1,3600,1,-0,-0,0,0,7.73199533,9.72627467,11.6853426,19.8504381,21.0778519,21.2345964,21.2558513,16.5137638,4.98015693,24.8019631,3.08916489,1.46507718,0.96932404,0.87728714,0.265012016,0.272860118,0.0628381515,0,0,0,0,0,1,0.474263186,0.313781904,0.283988447,0.0857875915,0.0883281169,0.0203414689,0,0,0,0,0
4,38,1,5,1,0.863802993,0.863802993,0,0,4.85800002,7.38999999,7.74429989,18.8852,28.3293,32.0762998,49.2600002,19.1076298,10.3860766,107.870587,0.132716328,0.0398631182,0.0233181855,0.0167823464,0.0117193994,0.00845813931,0.00640136184,0.00529416275,0.00428997134,0.00331448974,0.0027567687,0.00249207859,1,0.300363329,0.175699447,0.126452763,0.0883041266,0.0637309623,0.0482334158,0.0398908169,0.0323243673,0.0249742423,0.020771888,0.0187774829
4,38,1,10,1,0.86363919,0.863802993,-0.000163802685,-0.00018962968,4.86300001,7.39216665,7.74484995,18.8852168,28.3775001,32.0539331,48.6414001,19.1077102,10.3792109,107.728018,0.217451263,0.04748567,0.0448869386,0.0333178204,0.0243033136,0.0201448077,0.0176071514,0.0126749814,0.0117724512,0.008983042,0.00807224076,0.00732408355,1,0.218373853,0.206422984,0.153219714,0.111764417,0.0926405645,0.0809705639,0.058288838,0.0541383436,0.0413105994,0.0371220689,0.0336814947
4,38,1,30,1,0.846933004,0.863802993,-0.0168699887,-0.019529903,4.86933334,7.39766665,7.76143329,18.8832667,28.5132667,31.9633666,46.7938667,19.1079823,10.3496756,107.115785,0.461902823,0.111976049,0.0736430215,0.055907196,0.0445936184,0.0344947163,0.0415651426,0.041018733,0.0388112292,0.0348510844,0.0267102317,0.0259829498,1,0.242423391,0.159434015,0.121036706,0.0965432906,0.0746795963,0.089986769,0.0888038155,0.0840246635,0.075451118,0.0578265176,0.0562519831
